id;name;host;port;username;pas_user
1;Branding;Home Gloves Latvia;Ports Manager Fish;Networked;Fish
2;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;target Human withdrawal
3;dot-com payment Libyan Dinar;white sensor local;calculate;Chips;Villages uniform PCI
4;Automotive Tactics architectur;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc
5;Ergonomic Concrete Soap Zambia;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek
6;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna
7;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up
8;Iran;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous
9;Chips;navigating;Som Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice
10;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves
